Citykey;city;cityname;rb;hmb;se_agr_for;rel_agr_for;se_min;rel_min;se_craft;rel_craft;se_fac_man;rel_fac_man;se_sum_ind;rel_sum_ind;se_trd;rel_trd;se_litrd;rel_litrd;se_pas_carg_pos;_pas_carg_pos;se_sum_trd_ser;rel_sum_trd_ser;se_ad_jud;rel_ad_jud;se_hea;rel_hea;se_edu;rel_edu;se_art;rel_art;se_arm;rel_arm;se_cor;rel_cor;se_hou;rel_hou;se_sum_IV;rel_sum_IV;se_oth;rel_oth;se_sum;rel_sum;sum;con_sum
;Wurzen;Wurzen;Grimma;Leipzig;96;48;5;15;1728;2323;138;167;1871;2505;144;206;7;11;144;271;295;488;81;147;17;26;25;45;4;8;166;101;0;0;248;10;541;337;161;66;2964;3444;6408;6408
;Burgstädt;Burgstaedt;Rochlitz;Leipzig;20;10;0;0;535;644;1026;1208;1561;1852;94;121;7;10;35;56;136;187;32;62;9;2;55;21;19;14;0;0;0;0;99;4;214;103;59;22;1990;2174;4164;4164
;Colditz;Colditz;Rochlitz;Leipzig;65;33;1;0;661;839;281;458;943;1297;54;88;2;7;61;88;117;183;49;87;82;41;15;21;6;15;0;0;0;0;97;5;249;169;656;63;2030;1745;3775;3775
;Frohburg;Frohburg;Rochlitz;Leipzig;109;55;2;5;861;1188;462;715;1325;1908;66;113;0;0;49;74;115;187;26;50;11;19;15;35;17;11;1;0;0;0;106;1;179;110;105;56;1833;2316;4149;4149
;Geithain;Geithain;Rochlitz;Leipzig;215;199;0;0;765;1167;132;239;897;1406;70;109;0;0;46;78;116;187;26;50;11;19;11;15;7;15;71;13;0;0;59;0;185;112;89;50;1502;1954;3456;3456
;Mittwieda;Mittweida;Rochlitz;Leipzig;72;56;6;18;1023;1234;2248;2123;3277;3375;107;164;9;19;82;128;198;311;48;109;16;26;19;39;19;6;0;0;0;0;188;1;290;181;132;77;3969;4000;7969;7969
;Penig;Penig;Rochlitz;Leipzig;168;108;1;2;1368;1748;1323;1470;2692;3220;107;196;6;8;93;123;206;327;50;89;19;35;19;33;17;29;11;0;0;0;158;5;274;191;175;61;3515;3907;7422;7422
;Rochlitz;Rochlitz;Rochlitz;Leipzig;85;94;5;8;1150;1578;230;363;1385;1949;98;128;9;7;75;117;182;252;65;115;18;24;20;27;13;11;136;55;0;0;145;0;397;232;197;86;2246;2613;4859;4859
;Döbeln;Doebeln;Döbeln;Leipzig;96;53;2;3;2320;2388;612;859;2934;3250;240;347;14;17;116;174;370;538;64;113;22;40;19;45;41;44;0;0;0;0;279;47;425;289;169;104;3994;4234;8228;8228
;Geringswalde;Geringswalda;Döbeln;Leipzig;52;52;0;0;428;612;583;767;1011;1379;46;79;0;0;20;19;66;98;17;45;8;8;7;16;2;1;0;0;0;0;45;0;79;70;40;27;1248;1626;2874;2874
;Hainichen;Hainichen;Döbeln;Leipzig;22;16;0;0;722;912;1722;2318;2444;3230;101;139;4;4;45;66;150;209;33;61;15;16;16;39;10;7;0;0;0;0;162;12;236;135;105;47;2957;3637;6594;6594
;Hartha;Hartha;Döbeln;Leipzig;61;43;0;0;346;529;465;595;811;1124;20;32;0;0;19;26;39;58;15;35;8;12;6;22;0;0;0;0;0;0;47;0;76;69;38;20;1025;1314;2339;2339
;Leisnig;Leisnig;Döbeln;Leipzig;79;61;2;7;1323;1691;609;850;1934;2548;113;146;9;7;89;87;211;240;60;109;14;26;46;41;16;3;0;0;0;0;194;7;330;186;119;62;2673;3097;5770;5770
;Mügeln;Muegeln;Döbeln;Leipzig;61;36;2;12;634;924;63;100;699;1036;73;86;3;6;41;54;117;146;25;60;14;29;20;14;3;9;1;0;0;0;60;0;123;112;103;50;1103;1380;2483;2483
;Roßwein;Rosswein;Döbeln;Leipzig;74;78;5;8;1060;1210;1113;1664;2178;2882;125;157;4;1;77;123;206;281;28;63;14;22;18;26;22;12;74;16;0;0;143;2;299;141;161;101;2918;3483;6401;6401
;Waldheim;Waldheim;Döbeln;Leipzig;31;11;2;6;1178;1051;409;364;1589;1421;93;98;5;5;59;112;157;215;92;228;13;16;14;17;19;18;207;1;0;0;131;13;476;293;956;34;3209;1974;5183;5183
;Augustusburg;Augustusburg;Chemnitz;Zwickau;37;20;1;5;234;272;460;431;695;708;33;36;3;1;17;32;53;69;43;95;9;7;6;15;0;0;0;0;0;0;46;11;104;128;39;11;928;936;1864;1864
;Chemnitz;Chemnitz;Chemnitz;Zwickau;236;183;1;1;6632;6190;9269;10069;15902;16260;1579;2184;105;116;777;1117;2461;3417;412;720;83;97;516;325;179;188;409;144;0;0;2160;302;3759;1776;886;552;23244;22188;45432;45432
;Frankenberg;Frankenberg;Chemnitz;Zwickau;80;45;0;0;1084;1177;1911;2330;2995;3507;183;257;6;6;79;133;268;396;38;76;13;19;22;48;10;7;0;0;0;0;192;12;275;162;146;69;3764;4179;7943;7943
;Dederan;Dederan;Chemnitz;Zwickau;45;37;0;0;731;981;1269;1376;2000;2357;90;78;5;1;64;92;159;171;36;57;13;11;12;28;6;7;0;0;0;0;116;12;183;115;78;38;2465;2718;5183;5183
;Stollberg;Stollberg;Chemnitz;Zwickau;107;54;97;188;677;952;1156;1194;1930;2334;78;125;3;2;54;86;135;213;50;83;11;16;12;33;10;6;3;0;0;0;117;12;203;150;95;45;2470;2796;5266;5266
;Zschopau;Zschopau;Chemnitz;Zwickau;97;76;1;0;774;977;2414;2505;3189;3482;109;127;3;7;82;118;194;252;35;78;16;24;17;52;2;3;0;0;0;0;123;7;193;164;140;71;3813;4045;7858;7858
;Crimmitschau;Crimmitschau;Zwickau;Zwickau;59;50;1;2;1185;1524;2787;3558;3973;5084;167;288;9;10;114;132;290;430;43;86;17;26;34;67;21;10;0;0;0;0;270;15;385;204;125;50;4832;5818;10650;10650
;Eibenstock;Eibenstock;Zwickau;Zwickau;184;175;9;6;1028;1762;1316;676;2353;2444;109;161;8;5;58;117;175;283;92;150;12;16;14;34;30;35;3;0;0;0;151;35;302;270;115;64;3129;3236;6365;6365
;Johanngeorgenstadt;Johann-Georgenstadt;Zwickau;Zwickau;56;47;166;286;1104;952;229;192;1499;1430;62;79;0;0;38;71;100;150;28;73;11;20;10;22;4;9;0;0;0;0;54;1;107;125;97;55;1859;1807;3666;3666
;Kirchberg;Kirchberg;Zwickau;Zwickau;61;35;18;63;626;936;991;1547;1635;2546;113;279;3;7;33;65;149;351;30;74;9;11;11;21;18;16;0;0;0;0;97;8;165;130;84;16;2094;3078;5172;5172
;Schneeberg;Schneeberg;Zwickau;Zwickau;215;188;582;1302;1658;2601;2245;1056;4485;4959;266;395;24;36;161;333;451;764;68;148;24;28;44;89;12;36;182;87;0;0;257;39;587;427;280;131;6018;6469;12487;12487
;Schwarzenberg;Schwarzenberg;Zwickau;Zwickau;121;86;19;43;502;697;411;130;932;870;55;72;6;4;107;227;168;303;55;105;13;14;19;26;20;17;1;0;0;0;90;9;198;171;84;28;1503;1458;2961;2961
;Werdau;Werdau;Zwickau;Zwickau;93;47;2;10;1124;1737;2440;2394;3566;4141;107;136;6;13;169;323;282;472;54;86;15;32;25;40;27;16;4;0;0;0;193;15;318;189;146;44;4405;4893;9298;9298
;Wildenfels;Wildenfels;Zwickau;Zwickau;55;33;2;7;285;454;912;989;1199;1450;30;67;0;0;33;67;63;134;22;48;6;17;8;12;1;1;0;0;0;0;50;13;87;91;32;6;1436;1714;3150;3150
;Zwickau;Zwickau;Zwickau;Zwickau;369;323;1046;1844;3295;3819;1107;1332;5448;6995;542;659;53;53;663;1109;1258;1821;351;769;55;74;209;153;41;59;131;4;0;0;869;66;1656;1125;1227;270;9958;10534;20492;20492
;Annaberg;Annaberg;Annaberg ;Zwickau;132;73;43;84;2034;2244;2732;3708;4809;6036;262;409;30;28;110;166;402;603;114;252;31;49;292;144;18;34;0;0;0;0;420;90;875;569;305;153;6523;7434;13957;13957
;Ehrenfriedersdorf;Ehrenfriedersdorf;Annaberg ;Zwickau;251;207;117;142;608;859;1474;1224;2199;2225;73;97;4;3;52;57;129;157;23;53;13;21;14;34;0;0;0;0;0;0;63;5;113;113;75;35;2767;2737;5504;5504
;Geyer;Geier;Annaberg ;Zwickau;121;113;33;55;367;459;1359;890;1759;1404;58;59;4;12;19;26;81;97;18;43;24;37;16;27;2;3;0;0;0;0;32;0;92;110;57;2;2110;1726;3836;3836
;Grünhain;Gruenhain;Annaberg ;Zwickau;395;267;16;27;1370;1642;1412;479;2798;2148;151;139;0;0;55;73;206;212;38;78;15;15;16;23;7;8;0;0;0;0;98;1;174;125;55;10;3628;2762;6390;6390
;Jöhstadt;Joehstadt;Annaberg ;Zwickau;49;24;3;11;333;421;420;137;756;569;213;311;0;0;21;35;234;346;21;65;7;7;3;11;2;3;0;0;0;0;22;0;55;86;42;11;1136;1036;2172;2172
;Lengefeld;Lengefeld;Annaberg ;Zwickau;101;110;1;5;315;447;863;887;1179;1339;30;44;0;0;19;41;49;85;21;49;8;9;6;24;0;0;0;0;0;0;41;2;76;84;39;19;1444;1637;3081;3081
;Marienberg;Marienberg;Annaberg ;Zwickau;291;394;69;150;746;1154;607;443;1422;1747;65;143;5;8;82;135;152;286;45;108;12;3;15;24;23;10;200;69;0;0;85;1;380;215;149;61;2394;2703;5097;5097
;Oberwiesenthal;Oberwiesenthal;Annaberg ;Zwickau;182;152;0;0;451;640;716;258;1167;898;53;90;0;0;35;54;88;144;22;48;11;14;5;19;5;12;0;0;0;0;23;0;66;93;52;14;1555;1301;2856;2856
;Scheibenberg;Scheibenberg;Annaberg ;Zwickau;249;193;7;10;489;736;969;817;1465;1563;36;67;0;0;19;42;55;109;24;48;9;11;8;20;1;1;0;0;0;0;42;8;84;88;72;32;1925;1985;3910;3910
;Wolkenstein;Wolkenstein;Annaberg ;Zwickau;78;54;1;0;385;521;289;281;675;802;21;48;0;0;21;43;42;91;27;40;7;19;6;15;1;0;0;0;0;0;29;0;70;74;41;16;906;1037;1943;1943
;Zöblitz;Zoeblitz;Annaberg ;Zwickau;111;95;0;0;397;539;131;96;528;635;27;50;1;2;26;39;54;91;24;45;5;8;4;13;0;0;0;0;0;0;43;1;76;67;38;20;807;908;1715;1715
;Adorf;Adorf;Plauen;Zwickau;248;110;0;0;624;776;477;243;1101;1019;29;58;1;5;41;61;71;124;47;66;9;8;8;18;7;4;0;0;0;0;55;0;126;96;86;21;1632;1370;3002;3002
;Auerbach;Auerbach;Plauen;Zwickau;58;26;0;0;459;643;1045;996;1504;1639;124;173;8;1;42;80;174;254;43;85;10;9;15;29;7;16;0;0;0;0;145;2;220;141;95;33;2051;2093;4144;4144
;Elsterberg;Elsterberg;Plauen;Zwickau;34;8;0;0;281;354;1463;1047;1744;1401;23;72;1;3;23;32;47;107;13;26;7;7;9;23;0;0;0;0;0;0;64;1;93;57;42;16;1960;1589;3549;3549
;Falkenstein;Falkenstein;Plauen;Zwickau;41;19;0;0;355;487;1516;1488;1871;1975;28;62;0;0;21;37;49;99;18;57;4;4;10;25;3;2;0;0;0;0;65;0;100;88;26;7;2087;2188;4275;4275
;Lengenfeld;Lengenfeld;Plauen;Zwickau;53;21;1;1;442;665;1221;1573;1664;2239;50;77;3;5;40;67;93;149;24;58;8;17;8;34;1;4;0;0;0;0;103;2;144;115;45;22;1999;2546;4545;4545
;Markneukirchen;Markneukirchen;Plauen;Zwickau;79;14;0;0;1127;1720;93;62;1220;1782;64;120;0;0;17;19;81;139;17;43;8;13;8;21;3;13;0;0;0;0;84;3;120;93;51;32;1551;2060;3611;3611
;Oelsnitz;Oelsnitz;Plauen;Zwickau;118;47;0;0;658;893;866;1164;1524;2057;93;147;1;2;49;74;143;223;53;75;11;18;16;29;9;13;1;0;0;0;106;3;196;138;73;47;2054;2512;4566;4566
;Pausa;Pausa;Plauen;Zwickau;180;95;2;0;527;724;1504;1782;2033;2506;39;86;0;0;50;56;89;142;21;43;11;21;13;37;2;0;0;0;0;0;42;0;89;101;83;52;2474;2896;5370;5370
;Plauen;Plauen-Vogtland;Plauen;Zwickau;198;97;9;11;1905;2635;3807;3545;5721;6191;351;496;48;35;203;330;589;874;147;315;32;31;334;158;71;121;0;0;0;0;681;51;1265;676;335;220;8108;8058;16166;16166
;Reichenbach;Reichenbach im Vogtland;Plauen;Zwickau;116;49;1;2;1523;2237;5067;5708;6591;7947;232;387;13;16;161;242;409;642;66;134;20;37;60;85;25;12;1;0;0;0;439;34;611;302;241;120;7968;9060;17028;17028
;Schöneck;Schoeneck;Plauen;Zwickau;72;48;0;0;270;475;946;688;1216;1163;22;58;0;0;8;14;30;72;8;16;7;4;3;11;0;0;0;0;0;0;15;3;33;34;43;11;1394;1328;2722;2722
;Treuen;Treuen;Plauen;Zwickau;81;59;0;0;523;758;1331;1939;1854;2697;51;73;0;0;34;52;85;125;20;46;4;8;11;26;2;0;0;0;0;0;67;6;104;86;132;89;2256;3056;5312;5312
;Bischofswerda;Bischofswerda;Budissin;Budissin;72;70;0;0;648;790;438;681;1086;1471;59;123;10;9;58;104;127;236;42;60;12;32;22;23;14;8;0;0;0;0;118;16;208;139;81;34;1574;1950;3524;3524
;Budissin;Budissin;Budissin;Budissin;203;175;1;5;2348;2448;490;469;2839;2922;279;366;46;46;305;441;630;853;267;491;36;57;410;162;34;36;335;196;0;0;660;82;1742;1024;558;291;5972;5265;11237;11237
;Kamenz;Camenz;Budissin;Budissin;196;108;7;13;1209;1791;674;924;1890;2638;84;124;5;6;108;169;197;299;69;154;20;45;32;47;9;21;0;0;0;0;221;14;351;281;237;68;2871;3394;6265;6265
;Königsbrück;Koenigsbrueck;Budissin;Budissin;59;48;1;5;422;543;167;210;590;758;28;35;1;0;37;72;66;107;25;53;7;10;8;14;1;3;0;0;0;0;81;0;122;80;39;15;876;1008;1884;1884
;Neusalza;Neusalza;Budissin;Budissin;11;7;0;0;199;252;128;98;327;350;38;41;29;30;22;44;89;115;27;38;5;6;2;8;4;5;0;0;0;0;49;0;87;57;35;6;549;535;1084;1084
;Pulsnitz;Pulsnitz;Budissin;Budissin;60;50;0;0;557;749;247;262;804;1011;42;58;3;3;20;17;65;78;37;45;11;19;10;13;2;4;2;0;0;0;117;7;179;88;51;13;1159;1240;2399;2399
;Schirgiswalde;Schirgiswalde;Budissin;Budissin;66;54;0;0;208;272;674;674;882;946;18;22;0;0;14;20;32;42;23;54;4;4;5;5;1;2;0;0;0;0;36;1;69;66;36;3;1085;1111;2196;2196
;Bernstadt;Bernstadt;Löbau;Budissin;85;45;0;0;319;310;310;273;629;583;49;43;2;1;18;23;69;67;23;42;9;19;7;10;1;4;0;0;0;0;63;1;103;76;48;27;934;798;1732;1732
;Löbau;Loebau;Löbau;Budissin;81;47;2;9;939;1014;151;209;1092;1232;185;277;25;20;179;308;389;605;112;234;18;25;29;35;18;15;0;0;0;0;242;10;419;319;150;79;2131;2282;4413;4413
;Düritz;Dueritz;Löbau;Budissin;73;36;1;0;334;352;217;204;552;556;27;51;0;0;31;32;58;83;20;38;8;6;8;9;0;0;0;0;0;0;40;0;76;53;40;18;799;746;1545;1545
;Weißenberg;Weissenberg;Löbau;Budissin;154;75;0;0;243;349;53;42;296;391;18;28;0;0;17;32;35;60;16;47;5;12;3;14;1;0;0;0;0;0;26;0;51;73;30;7;566;606;1172;1172
;Zittau;Zittau;Löbau;Budissin;558;541;70;101;2430;2414;1150;759;3650;3274;467;618;40;39;345;527;852;1184;278;509;50;39;265;159;23;29;0;0;0;0;748;119;1364;855;515;270;6939;6124;13063;13063
